index,num,accessibility,race,label
0,25,2,black_non_poverty,health_acc_score
1,78,2,white_poverty,health_acc_score
2,1397,2,white_non_poverty,health_acc_score
3,145,4,black_non_poverty,health_acc_score
4,430,4,white_non_poverty,health_acc_score
5,141,5,black_poverty,health_acc_score
6,342,5,black_non_poverty,health_acc_score
7,234,5,white_poverty,health_acc_score
8,3112,5,white_non_poverty,health_acc_score
9,1209,6,black_poverty,health_acc_score
10,5624,6,black_non_poverty,health_acc_score
11,1372,6,white_poverty,health_acc_score
12,19559,6,white_non_poverty,health_acc_score
13,3367,7,black_poverty,health_acc_score
14,9056,7,black_non_poverty,health_acc_score
15,3394,7,white_poverty,health_acc_score
16,24050,7,white_non_poverty,health_acc_score
17,3559,8,black_poverty,health_acc_score
18,8800,8,black_non_poverty,health_acc_score
19,5463,8,white_poverty,health_acc_score
20,43418,8,white_non_poverty,health_acc_score
21,3133,9,black_poverty,health_acc_score
22,11415,9,black_non_poverty,health_acc_score
23,6576,9,white_poverty,health_acc_score
24,47626,9,white_non_poverty,health_acc_score
25,3097,10,black_poverty,health_acc_score
26,12176,10,black_non_poverty,health_acc_score
27,10978,10,white_poverty,health_acc_score
28,103281,10,white_non_poverty,health_acc_score
0,25,2,black_non_poverty,health2_acc_score
1,78,2,white_poverty,health2_acc_score
2,1397,2,white_non_poverty,health2_acc_score
3,145,4,black_non_poverty,health2_acc_score
4,430,4,white_non_poverty,health2_acc_score
5,141,5,black_poverty,health2_acc_score
6,342,5,black_non_poverty,health2_acc_score
7,234,5,white_poverty,health2_acc_score
8,3112,5,white_non_poverty,health2_acc_score
9,1209,6,black_poverty,health2_acc_score
10,6237,6,black_non_poverty,health2_acc_score
11,1372,6,white_poverty,health2_acc_score
12,20821,6,white_non_poverty,health2_acc_score
13,3609,7,black_poverty,health2_acc_score
14,8913,7,black_non_poverty,health2_acc_score
15,4234,7,white_poverty,health2_acc_score
16,31993,7,white_non_poverty,health2_acc_score
17,3329,8,black_poverty,health2_acc_score
18,8380,8,black_non_poverty,health2_acc_score
19,4878,8,white_poverty,health2_acc_score
20,36704,8,white_non_poverty,health2_acc_score
21,3278,9,black_poverty,health2_acc_score
22,11888,9,black_non_poverty,health2_acc_score
23,6699,9,white_poverty,health2_acc_score
24,48476,9,white_non_poverty,health2_acc_score
25,2940,10,black_poverty,health2_acc_score
26,11653,10,black_non_poverty,health2_acc_score
27,10600,10,white_poverty,health2_acc_score
28,99940,10,white_non_poverty,health2_acc_score
0,25,1,black_non_poverty,health2_Monday_score
1,78,1,white_poverty,health2_Monday_score
2,1397,1,white_non_poverty,health2_Monday_score
3,285,3,black_non_poverty,health2_Monday_score
4,78,3,white_poverty,health2_Monday_score
5,2521,3,white_non_poverty,health2_Monday_score
6,239,4,black_poverty,health2_Monday_score
7,1714,4,black_non_poverty,health2_Monday_score
8,810,4,white_poverty,health2_Monday_score
9,11049,4,white_non_poverty,health2_Monday_score
10,1898,5,black_poverty,health2_Monday_score
